energie: x=2,21 po
         y=0,79 po
energie: x=3,1 po
         y=0,79 po
energie: x=8,35 po
         y=0,79 po
energie: x=11,68 po
         y=0,78 po
energie: x=12,05 po
         y=0,78 po
energie: x=17,18 po
         y=0,75 po
energie: x=21,61 po
         y=0,82 po
energie: x=22,39 po
         y=0,81 po
obs violet: x=1,64 po
            y=1,17 po
obs violet: x=2,09 po
            y=0,91 po
obs violet: x=2,54 po
            y=0,91 po
obs violet: x=2,98 po
            y=0,91 po
obs violet: x=3,45 po
            y=1,17 po
obs violet: x=7,27 po
            y=1,18 po
obs violet: x=7,75 po
            y=0,91 po
obs violet: x=8,22 po
            y=0,91 po
obs violet: x=8,71 po
            y=0,91 po
obs violet: x=9,25 po
            y=1,17 po
obs violet: x=11,12 po
            y=1,16 po
obs violet: x=11,44 po
            y=0,91 po
obs violet: x=11,64 po
            y=0,91 po
obs violet: x=11,83 po
            y=0,91 po
obs violet: x=12,04 po
            y=0,91 po
obs violet: x=12,39 po
            y=1,16 po
obs violet: x=15,62 po
            y=1,14 po
obs violet: x=15,92 po
            y=1,13 po
obs violet: x=16,02 po
            y=1,13 po
obs violet: x=16,66 po
            y=0,87 po
obs violet: x=16,84 po
            y=0,87 po
obs violet: x=17,14 po
            y=0,87 po
obs violet: x=17,24 po
            y=0,86 po
obs violet: x=17,46 po
            y=0,87 po
obs violet: x=17,97 po
            y=1,11 po
obs violet: x=18,27 po
            y=1,1 po
obs violet: x=18,37 po
            y=1,1 po
obs violet: x=21,14 po
            y=1,13 po
obs violet: x=21,49 po
            y=0,93 po
obs violet: x=21,59 po
            y=0,93 po
obs violet: x=21,79 po
            y=0,93 po
obs violet: x=21,89 po
            y=0,92 po
obs violet: x=21,98 po
            y=0,92 po
obs violet: x=22,28 po
            y=0,92 po
obs violet: x=22,76 po
            y=1,11 po
cris jaune: x=2,44 po
            y=1,19 po
cris jaune: x=2,59 po
            y=1,19 po
cris jaune: x=7,61 po
            y=1,2 po
cris jaune: x=7,99 po
            y=1,2 po
cris jaune: x=8,48 po
            y=1,2 po
cris jaune: x=8,93 po
            y=1,2 po
cris jaune: x=11,48 po
            y=1,2 po
cris jaune: x=12,05 po
            y=1,2 po
cris jaune: x=16,44 po
            y=1,2 po
cris jaune: x=16,99 po
            y=1,2 po
cris jaune: x=17,66 po
            y=1,2 po
cris jaune: x=21,42 po
            y=1,17 po
cris jaune: x=21,65 po
            y=1,16 po
cris jaune: x=21,87 po
            y=1,17 po
cris jaune: x=22,06 po
            y=1,16 po
cris jaune: x=22,23 po
            y=1,16 
cris jaune: x=22,37 po
            y=1,17 po
fusée: x=25,41 po
       y=0,33 po
